timestamp,rss_kb,cpu_pct
2026-08-18T08:48:39.681Z,70768,29.0
2026-08-18T08:48:40.687Z,70768,13.3
2026-08-18T08:48:41.694Z,70768,8.6
2026-08-18T08:48:42.700Z,70768,6.4
2026-08-18T08:48:43.707Z,70768,5.1
2026-08-18T08:48:44.715Z,70768,4.2
2026-08-18T08:48:45.721Z,70768,3.6
2026-08-18T08:48:46.728Z,70768,3.1
2026-08-18T08:48:47.734Z,70768,2.8
2026-08-18T08:48:48.740Z,70768,2.5
2026-08-18T08:48:49.747Z,70768,2.2
2026-08-18T08:48:50.753Z,70768,2.0
2026-08-18T08:48:51.760Z,70768,1.9
2026-08-18T08:48:52.766Z,70768,1.7
2026-08-18T08:48:53.772Z,70768,1.6
2026-08-18T08:48:54.778Z,70768,1.5
2026-08-18T08:48:55.785Z,70768,1.4
2026-08-18T08:48:56.792Z,70768,1.3
2026-08-18T08:48:57.798Z,70768,1.3
2026-08-18T08:48:58.804Z,70768,1.2
2026-08-18T08:48:59.810Z,70768,1.1
2026-08-18T08:49:00.817Z,70768,1.1
2026-08-18T08:49:01.824Z,70768,1.0
2026-08-18T08:49:02.831Z,70768,1.0
2026-08-18T08:49:03.837Z,83604,1.7
2026-08-18T08:49:04.844Z,83804,2.4
2026-08-18T08:49:05.851Z,85100,3.3
2026-08-18T08:49:06.858Z,86056,4.0
2026-08-18T08:49:07.867Z,94696,4.8
2026-08-18T08:49:08.873Z,96676,5.5
2026-08-18T08:49:09.880Z,96232,6.0
2026-08-18T08:49:10.886Z,97068,6.6
2026-08-18T08:49:11.895Z,96404,7.1
2026-08-18T08:49:12.902Z,96460,7.6
2026-08-18T08:49:13.909Z,97012,8.1
2026-08-18T08:49:14.916Z,96736,8.5
2026-08-18T08:49:15.925Z,97804,9.0
2026-08-18T08:49:16.933Z,105192,9.4
2026-08-18T08:49:17.940Z,111208,9.7
2026-08-18T08:49:18.947Z,112636,10.0
2026-08-18T08:49:19.954Z,112084,10.4
2026-08-18T08:49:20.964Z,112364,10.7
2026-08-18T08:49:21.972Z,112184,10.9
2026-08-18T08:49:22.979Z,114444,11.3
2026-08-18T08:49:23.985Z,113452,11.5
2026-08-18T08:49:24.994Z,113748,11.7
2026-08-18T08:49:26.000Z,114088,12.0
2026-08-18T08:49:27.007Z,114680,12.2
2026-08-18T08:49:28.013Z,116248,12.4
2026-08-18T08:49:29.019Z,115920,12.6
2026-08-18T08:49:30.028Z,116272,12.9
2026-08-18T08:49:31.035Z,116744,13.1
2026-08-18T08:49:32.041Z,118184,13.3
2026-08-18T08:49:33.047Z,117052,13.4
2026-08-18T08:49:34.054Z,117656,13.6
2026-08-18T08:49:35.064Z,119024,13.8
2026-08-18T08:49:36.071Z,130136,13.9
2026-08-18T08:49:37.077Z,133564,14.1
2026-08-18T08:49:38.083Z,137632,14.3
2026-08-18T08:49:39.091Z,145008,14.4
2026-08-18T08:49:40.098Z,146432,14.5
2026-08-18T08:49:41.105Z,147092,14.6
2026-08-18T08:49:42.112Z,146132,14.8
2026-08-18T08:49:43.119Z,147688,14.9
2026-08-18T08:49:44.127Z,149436,15.0
2026-08-18T08:49:45.134Z,147900,15.1
2026-08-18T08:49:46.140Z,149312,15.2
2026-08-18T08:49:47.147Z,147156,15.3
2026-08-18T08:49:48.154Z,148444,15.3
2026-08-18T08:49:49.163Z,148976,15.4
2026-08-18T08:49:50.170Z,147196,15.5
2026-08-18T08:49:51.177Z,148308,15.5
2026-08-18T08:49:52.184Z,149772,15.6
2026-08-18T08:49:53.192Z,146856,15.8
2026-08-18T08:49:54.200Z,148076,15.8
2026-08-18T08:49:55.206Z,149716,15.9
2026-08-18T08:49:56.213Z,147556,16.0
2026-08-18T08:49:57.220Z,148276,16.1
2026-08-18T08:49:58.228Z,149748,16.2
2026-08-18T08:49:59.236Z,148652,16.3
2026-08-18T08:50:00.243Z,149864,16.4
2026-08-18T08:50:01.249Z,147296,16.5
2026-08-18T08:50:02.255Z,148044,16.5
2026-08-18T08:50:03.265Z,149484,16.6
2026-08-18T08:50:04.271Z,147500,16.6
2026-08-18T08:50:05.278Z,148752,16.6
2026-08-18T08:50:06.285Z,150084,16.7
2026-08-18T08:50:07.292Z,147580,16.7
2026-08-18T08:50:08.301Z,149208,16.7
2026-08-18T08:50:09.307Z,150288,16.8
2026-08-18T08:50:10.313Z,151556,16.7
2026-08-18T08:50:11.320Z,150936,16.7
2026-08-18T08:50:12.328Z,151472,16.7
2026-08-18T08:50:13.334Z,152988,16.8
2026-08-18T08:50:14.341Z,151544,16.8
2026-08-18T08:50:15.347Z,152436,16.9
2026-08-18T08:50:16.354Z,154648,16.9
2026-08-18T08:50:17.363Z,167332,17.0
2026-08-18T08:50:18.371Z,180008,17.1
2026-08-18T08:50:19.377Z,180380,17.2
2026-08-18T08:50:20.384Z,181476,17.2
2026-08-18T08:50:21.393Z,182580,17.2
2026-08-18T08:50:22.400Z,185004,17.2
2026-08-18T08:50:23.406Z,192520,17.2
2026-08-18T08:50:24.413Z,201684,17.3
2026-08-18T08:50:25.419Z,202596,17.3
2026-08-18T08:50:26.426Z,204260,17.3
2026-08-18T08:50:27.433Z,205652,17.4
2026-08-18T08:50:28.440Z,206304,17.4
2026-08-18T08:50:29.446Z,207480,17.4
2026-08-18T08:50:30.453Z,209684,17.3
2026-08-18T08:50:31.461Z,205240,17.4
2026-08-18T08:50:32.469Z,206352,17.5
2026-08-18T08:50:33.476Z,207872,17.5
2026-08-18T08:50:34.482Z,209508,17.5
2026-08-18T08:50:35.488Z,211276,17.6
2026-08-18T08:50:36.495Z,212752,17.6
2026-08-18T08:50:37.502Z,206092,17.7
2026-08-18T08:50:38.508Z,206828,17.7
2026-08-18T08:50:39.515Z,207636,17.7
2026-08-18T08:50:40.521Z,209232,17.7
2026-08-18T08:50:41.529Z,212476,17.7
2026-08-18T08:50:42.536Z,213232,17.7
2026-08-18T08:50:43.542Z,208588,17.6
2026-08-18T08:50:44.549Z,210404,17.7
2026-08-18T08:50:45.557Z,211640,17.7
2026-08-18T08:50:46.564Z,212724,17.7
2026-08-18T08:50:47.572Z,213976,17.7
2026-08-18T08:50:48.578Z,214680,17.7
2026-08-18T08:50:49.585Z,215260,17.7
2026-08-18T08:50:50.593Z,209992,17.7
2026-08-18T08:50:51.600Z,211228,17.8
2026-08-18T08:50:52.606Z,212668,17.8
2026-08-18T08:50:53.613Z,213748,17.8
2026-08-18T08:50:54.619Z,215208,17.8
2026-08-18T08:50:55.627Z,208484,17.9
2026-08-18T08:50:56.634Z,210440,17.9
2026-08-18T08:50:57.640Z,211144,17.9
2026-08-18T08:50:58.647Z,212224,17.9
2026-08-18T08:50:59.653Z,213680,17.9
2026-08-18T08:51:00.662Z,214744,17.9
2026-08-18T08:51:01.669Z,208484,17.9
2026-08-18T08:51:02.677Z,209564,17.9
2026-08-18T08:51:03.684Z,210472,18.0
2026-08-18T08:51:04.692Z,211584,17.9
2026-08-18T08:51:05.698Z,213180,17.9
2026-08-18T08:51:06.705Z,214964,17.9
2026-08-18T08:51:07.711Z,215920,18.0
2026-08-18T08:51:08.718Z,209544,18.0
2026-08-18T08:51:09.727Z,210780,18.0
2026-08-18T08:51:10.733Z,211328,18.0
2026-08-18T08:51:11.740Z,212612,18.1
2026-08-18T08:51:12.746Z,214396,18.1
2026-08-18T08:51:13.754Z,209056,18.1
2026-08-18T08:51:14.761Z,210512,18.1
2026-08-18T08:51:15.768Z,211576,18.1
2026-08-18T08:51:16.774Z,212280,18.2
