timestamp,rss_kb,cpu_pct
2026-08-17T14:02:18.765Z,71220,25.2
2026-08-17T14:02:19.773Z,71220,11.7
2026-08-17T14:02:20.780Z,71220,7.6
2026-08-17T14:02:21.787Z,71220,5.6
2026-08-17T14:02:22.794Z,71220,4.4
2026-08-17T14:02:23.801Z,71220,3.7
2026-08-17T14:02:24.807Z,71220,3.1
2026-08-17T14:02:25.813Z,71220,2.7
2026-08-17T14:02:26.819Z,71220,2.4
2026-08-17T14:02:27.826Z,71220,2.2
2026-08-17T14:02:28.834Z,71220,2.0
2026-08-17T14:02:29.840Z,71220,1.8
2026-08-17T14:02:30.846Z,71220,1.6
2026-08-17T14:02:31.853Z,71220,1.5
2026-08-17T14:02:32.860Z,71220,1.4
2026-08-17T14:02:33.867Z,71220,1.3
2026-08-17T14:02:34.876Z,71220,1.2
2026-08-17T14:02:35.882Z,74020,1.3
2026-08-17T14:02:36.889Z,75712,1.3
2026-08-17T14:02:37.897Z,76908,1.4
2026-08-17T14:02:38.904Z,77140,1.4
2026-08-17T14:02:39.911Z,77276,1.5
2026-08-17T14:02:40.917Z,78028,1.6
2026-08-17T14:02:41.925Z,78460,1.8
2026-08-17T14:02:42.934Z,78524,1.9
2026-08-17T14:02:43.942Z,78564,2.1
2026-08-17T14:02:44.948Z,78792,2.2
2026-08-17T14:02:45.955Z,79472,2.4
2026-08-17T14:02:46.964Z,80608,2.7
2026-08-17T14:02:47.970Z,80184,2.9
2026-08-17T14:02:48.977Z,83504,3.2
2026-08-17T14:02:49.983Z,83516,3.4
2026-08-17T14:02:50.990Z,85320,3.7
2026-08-17T14:02:51.998Z,87692,3.8
2026-08-17T14:02:53.005Z,88268,4.1
2026-08-17T14:02:54.012Z,88848,4.3
2026-08-17T14:02:55.018Z,88780,4.5
2026-08-17T14:02:56.025Z,89692,4.7
2026-08-17T14:02:57.034Z,90032,4.9
2026-08-17T14:02:58.041Z,90432,5.1
2026-08-17T14:02:59.048Z,90448,5.3
2026-08-17T14:03:00.054Z,90584,5.5
2026-08-17T14:03:01.063Z,91084,5.6
2026-08-17T14:03:02.069Z,91116,5.8
2026-08-17T14:03:03.076Z,91572,6.0
2026-08-17T14:03:04.082Z,95408,6.1
2026-08-17T14:03:05.089Z,97292,6.2
2026-08-17T14:03:06.097Z,101488,6.4
2026-08-17T14:03:07.104Z,102076,6.5
2026-08-17T14:03:08.111Z,103240,6.6
2026-08-17T14:03:09.117Z,103036,6.7
2026-08-17T14:03:10.124Z,102300,6.8
2026-08-17T14:03:11.133Z,103408,7.0
2026-08-17T14:03:12.141Z,102820,7.1
2026-08-17T14:03:13.147Z,102996,7.2
2026-08-17T14:03:14.153Z,102880,7.2
2026-08-17T14:03:15.161Z,103068,7.3
2026-08-17T14:03:16.168Z,104032,7.4
2026-08-17T14:03:17.175Z,103708,7.4
2026-08-17T14:03:18.182Z,104832,7.5
2026-08-17T14:03:19.188Z,104300,7.6
2026-08-17T14:03:20.195Z,104732,7.7
2026-08-17T14:03:21.203Z,105152,7.8
2026-08-17T14:03:22.209Z,104304,7.8
2026-08-17T14:03:23.216Z,105476,7.9
2026-08-17T14:03:24.223Z,104888,8.0
2026-08-17T14:03:25.233Z,104896,8.0
2026-08-17T14:03:26.240Z,105024,8.1
2026-08-17T14:03:27.246Z,106068,8.1
2026-08-17T14:03:28.252Z,105912,8.2
2026-08-17T14:03:29.263Z,107048,8.2
2026-08-17T14:03:30.270Z,106452,8.3
2026-08-17T14:03:31.277Z,107944,8.4
2026-08-17T14:03:32.283Z,111748,8.4
2026-08-17T14:03:33.290Z,117968,8.5
2026-08-17T14:03:34.297Z,118760,8.6
2026-08-17T14:03:35.305Z,119280,8.6
2026-08-17T14:03:36.312Z,122040,8.7
2026-08-17T14:03:37.318Z,126776,8.7
2026-08-17T14:03:38.325Z,127328,8.8
2026-08-17T14:03:39.334Z,128064,8.8
2026-08-17T14:03:40.342Z,129160,8.8
2026-08-17T14:03:41.349Z,130004,8.9
2026-08-17T14:03:42.355Z,128020,8.9
2026-08-17T14:03:43.364Z,129116,9.0
2026-08-17T14:03:44.371Z,129940,9.0
2026-08-17T14:03:45.379Z,131324,9.0
2026-08-17T14:03:46.385Z,128324,9.1
2026-08-17T14:03:47.393Z,128668,9.1
2026-08-17T14:03:48.400Z,128856,9.2
2026-08-17T14:03:49.408Z,129592,9.2
2026-08-17T14:03:50.414Z,128360,9.2
2026-08-17T14:03:51.421Z,129440,9.3
2026-08-17T14:03:52.430Z,130168,9.3
2026-08-17T14:03:53.438Z,130700,9.3
2026-08-17T14:03:54.445Z,129168,9.4
2026-08-17T14:03:55.452Z,130272,9.4
2026-08-17T14:03:56.459Z,131152,9.5
2026-08-17T14:03:57.467Z,129252,9.5
2026-08-17T14:03:58.474Z,129424,9.6
2026-08-17T14:03:59.481Z,129800,9.6
2026-08-17T14:04:00.488Z,129440,9.7
2026-08-17T14:04:01.496Z,130556,9.8
2026-08-17T14:04:02.503Z,131792,9.9
2026-08-17T14:04:03.510Z,129460,10.0
2026-08-17T14:04:04.516Z,130584,10.1
2026-08-17T14:04:05.523Z,130740,10.3
2026-08-17T14:04:06.532Z,132904,10.4
2026-08-17T14:04:07.539Z,130972,10.5
2026-08-17T14:04:08.548Z,129388,10.7
2026-08-17T14:04:09.554Z,130640,10.9
2026-08-17T14:04:10.562Z,130432,11.1
2026-08-17T14:04:11.569Z,132340,11.3
2026-08-17T14:04:12.577Z,131852,11.4
2026-08-17T14:04:13.583Z,131964,11.6
2026-08-17T14:04:14.589Z,135484,11.8
2026-08-17T14:04:15.598Z,149856,11.9
2026-08-17T14:04:16.605Z,156012,12.0
2026-08-17T14:04:17.612Z,157904,12.1
2026-08-17T14:04:18.618Z,163484,12.1
2026-08-17T14:04:19.625Z,175896,12.2
2026-08-17T14:04:20.634Z,175944,12.3
2026-08-17T14:04:21.644Z,179172,12.4
2026-08-17T14:04:22.651Z,180544,12.5
2026-08-17T14:04:23.658Z,178336,12.7
2026-08-17T14:04:24.667Z,180160,12.8
2026-08-17T14:04:25.676Z,181796,13.0
