timestamp,rss_kb,cpu_pct
2026-08-18T07:56:29.801Z,71496,28.3
2026-08-18T07:56:30.807Z,71496,12.6
2026-08-18T07:56:31.814Z,71496,8.1
2026-08-18T07:56:32.821Z,71496,6.0
2026-08-18T07:56:33.827Z,71496,4.7
2026-08-18T07:56:34.833Z,71496,3.9
2026-08-18T07:56:35.840Z,71496,3.3
2026-08-18T07:56:36.848Z,71496,2.9
2026-08-18T07:56:37.854Z,71496,2.5
2026-08-18T07:56:38.861Z,71496,2.3
2026-08-18T07:56:39.867Z,71496,2.1
2026-08-18T07:56:40.873Z,71496,1.9
2026-08-18T07:56:41.879Z,71496,1.7
2026-08-18T07:56:42.885Z,71496,1.6
2026-08-18T07:56:43.892Z,71496,1.5
2026-08-18T07:56:44.898Z,71496,1.4
2026-08-18T07:56:45.904Z,71496,1.3
2026-08-18T07:56:46.910Z,71496,1.2
2026-08-18T07:56:47.916Z,71496,1.2
2026-08-18T07:56:48.925Z,71496,1.1
2026-08-18T07:56:49.932Z,71496,1.0
2026-08-18T07:56:50.937Z,75180,1.1
2026-08-18T07:56:51.944Z,76220,1.1
2026-08-18T07:56:52.950Z,77448,1.2
2026-08-18T07:56:53.958Z,77548,1.2
2026-08-18T07:56:54.966Z,77728,1.2
2026-08-18T07:56:55.973Z,77964,1.3
2026-08-18T07:56:56.979Z,78104,1.4
2026-08-18T07:56:57.985Z,78152,1.5
2026-08-18T07:56:58.994Z,78200,1.6
2026-08-18T07:57:00.000Z,78304,1.7
2026-08-18T07:57:01.007Z,78380,1.9
2026-08-18T07:57:02.013Z,78816,1.9
2026-08-18T07:57:03.019Z,78652,2.1
2026-08-18T07:57:04.027Z,78800,2.2
2026-08-18T07:57:05.033Z,79516,2.3
2026-08-18T07:57:06.039Z,80632,2.4
2026-08-18T07:57:07.045Z,82744,2.4
2026-08-18T07:57:08.052Z,82992,2.5
2026-08-18T07:57:09.061Z,82788,2.6
2026-08-18T07:57:10.067Z,82952,2.7
2026-08-18T07:57:11.074Z,82316,2.8
2026-08-18T07:57:12.079Z,83920,2.8
2026-08-18T07:57:13.086Z,83580,2.9
2026-08-18T07:57:14.093Z,83472,2.9
2026-08-18T07:57:15.100Z,84252,3.0
2026-08-18T07:57:16.106Z,83904,3.0
2026-08-18T07:57:17.113Z,83516,3.0
2026-08-18T07:57:18.119Z,83516,3.1
2026-08-18T07:57:19.126Z,83516,3.1
2026-08-18T07:57:20.133Z,83724,3.2
2026-08-18T07:57:21.140Z,85848,3.5
2026-08-18T07:57:22.146Z,93304,4.0
2026-08-18T07:57:23.153Z,93588,4.7
2026-08-18T07:57:24.162Z,93896,5.4
2026-08-18T07:57:25.170Z,110416,6.6
2026-08-18T07:57:26.177Z,119420,7.8
2026-08-18T07:57:27.184Z,139920,8.9
2026-08-18T07:57:28.193Z,142120,9.8
2026-08-18T07:57:29.202Z,144260,10.8
2026-08-18T07:57:30.210Z,145648,11.7
2026-08-18T07:57:31.217Z,176572,12.8
2026-08-18T07:57:32.232Z,194980,13.6
2026-08-18T07:57:33.239Z,202788,14.5
2026-08-18T07:57:34.245Z,210564,15.3
2026-08-18T07:57:35.253Z,210408,15.9
2026-08-18T07:57:36.261Z,210412,15.7
2026-08-18T07:57:37.267Z,210680,15.6
2026-08-18T07:57:38.273Z,211024,15.4
2026-08-18T07:57:39.279Z,211024,15.3
2026-08-18T07:57:40.286Z,211024,15.1
2026-08-18T07:57:41.293Z,216268,15.0
2026-08-18T07:57:42.300Z,223088,15.0
2026-08-18T07:57:43.306Z,224408,14.9
2026-08-18T07:57:44.312Z,224412,14.8
2026-08-18T07:57:45.318Z,224412,14.6
2026-08-18T07:57:46.326Z,224752,14.5
2026-08-18T07:57:47.332Z,220132,14.4
2026-08-18T07:57:48.339Z,220132,14.2
2026-08-18T07:57:49.346Z,222676,14.2
2026-08-18T07:57:50.352Z,224820,14.2
2026-08-18T07:57:51.360Z,224820,14.1
2026-08-18T07:57:52.368Z,224820,14.0
2026-08-18T07:57:53.374Z,225008,13.9
2026-08-18T07:57:54.380Z,223688,13.8
2026-08-18T07:57:55.387Z,223876,13.7
2026-08-18T07:57:56.394Z,223876,13.5
2026-08-18T07:57:57.401Z,223876,13.4
2026-08-18T07:57:58.408Z,226756,13.3
2026-08-18T07:57:59.414Z,229664,13.3
2026-08-18T07:58:00.420Z,229856,13.2
2026-08-18T07:58:01.427Z,229856,13.1
2026-08-18T07:58:02.433Z,229856,13.0
2026-08-18T07:58:03.440Z,229856,12.9
2026-08-18T07:58:04.446Z,229924,12.8
2026-08-18T07:58:05.453Z,229924,12.7
2026-08-18T07:58:06.461Z,229924,12.5
2026-08-18T07:58:07.467Z,229924,12.4
2026-08-18T07:58:08.474Z,230248,12.3
2026-08-18T07:58:09.480Z,230248,12.2
2026-08-18T07:58:10.487Z,230248,12.1
2026-08-18T07:58:11.494Z,230268,12.0
2026-08-18T07:58:12.500Z,230272,12.0
2026-08-18T07:58:13.506Z,230284,11.9
2026-08-18T07:58:14.513Z,222352,11.8
2026-08-18T07:58:15.519Z,222352,11.7
